HOMBRE,UNION LIBRE ,#¡VALOR!,52,4316000,2300000,3,72,56466962,10,A
HOMBRE,CASADO,FAMILIAR,52,7983802,3971348,1,60,45417000,345,E
MUJER,CASADO,PROPIA,45,2790687,1134372,0,60,16600000,10,A
HOMBRE,CASADO,PROPIA,58,600000000,2000000,0,73,167130000,102,D
HOMBRE,CASADO,PROPIA,75,1501336,164994,0,60,9673000,741,E
HOMBRE,CASADO,PROPIA,75,1501336,164994,0,72,81614996,894,E
HOMBRE,SOLTERO,PROPIA,60,1672497,886486,0,120,40943844,5,A
HOMBRE,UNION LIBRE ,FAMILIAR,51,2498046,303534,0,122,118000000,280,E
HOMBRE,SOLTERO,ARRENDADA,37,2153146,1123344,0,140,78300000,97,D
HOMBRE,SEPARADO,FAMILIAR,37,2106922,1041488,0,140,58000000,371,E
MUJER,SEPARADO,#¡VALOR!,56,4300000,2000000,1,60,56269000,10,A
HOMBRE,SOLTERO,PROPIA,53,6000000,0,0,72,35000000,10,A
MUJER,SOLTERO,FAMILIAR,48,13000000,6575733,0,120,91084838,9,E
HOMBRE,SEPARADO,FAMILIAR,51,1,6078043,2,120,85672690,101,D
MUJER,UNION LIBRE ,PROPIA,42,30000000,2000000,1,60,14695000,407,D
MUJER,UNION LIBRE ,PROPIA,42,30000000,2000000,1,72,32935755,376,E
HOMBRE,CASADO,PROPIA,41,2329633,1215406,0,60,31700000,407,E
HOMBRE,SOLTERO,FAMILIAR,40,3531006,527589,0,60,36000000,619,E
MUJER,SOLTERO,PROPIA,75,932721,485800,0,60,7000000,132,E
MUJER,CASADO,PROPIA,54,0,11486096,0,60,88500000,11,B
HOMBRE,SOLTERO,#N/A,41,877625,1877625,0,60,14088000,375,E
HOMBRE,CASADO,FAMILIAR,33,2089700,1119670,0,145,58700000,767,E
HOMBRE,CASADO,FAMILIAR,43,2600000,600000,0,72,60792000,405,E
HOMBRE,CASADO,PROPIA,46,5600000,1000000,0,72,40000000,39,A
HOMBRE,CASADO,ARRENDADA,49,820857,59017,0,60,10000000,5,A
HOMBRE,CASADO,FAMILIAR,31,2089700,1058535,0,120,65000000,128,D
HOMBRE,UNION LIBRE ,FAMILIAR,41,1702156,729981,0,60,25000000,801,E
MUJER,SOLTERO,PROPIA,33,2110437,600000,0,121,47175195,404,E
MUJER,RELIGIOSO,FAMILIAR,30,1650000,2000000,0,72,66951000,220,E
HOMBRE,SOLTERO,FAMILIAR,29,1,59523291,0,60,169112340,8,A
MUJER,RELIGIOSO,FAMILIAR,49,3730243,500000,0,84,33120000,99,D
HOMBRE,SOLTERO,FAMILIAR,29,1892501,947243,0,120,61900000,767,E
HOMBRE,SOLTERO,FAMILIAR,34,2072833,929129,0,128,41200000,280,E
HOMBRE,SOLTERO,FAMILIAR,34,2184611,824183,0,140,95000000,433,E
HOMBRE,SOLTERO,FAMILIAR,42,2400000,300000,0,60,30500000,770,E
HOMBRE,SOLTERO,PROPIA,42,30000000,1000000,0,42,64100000,7,A
HOMBRE,SOLTERO,FAMILIAR,33,2088694,1023760,0,140,72000000,189,D
MUJER,SOLTERO,PROPIA,35,0,2000000,0,72,23000000,6,A
HOMBRE,SOLTERO,FAMILIAR,28,1892502,737216,0,126,47000000,767,E
HOMBRE,SOLTERO,PROPIA,28,963900,173551,0,72,25613000,704,E
HOMBRE,CASADO,PROPIA,56,1670000,488689,0,61,10122958,787,E
HOMBRE,UNION LIBRE ,PROPIA,44,0,2000000,0,72,200000000,33,A
MUJER,CASADO,ARRENDADA,48,1258400,646540,0,78,23235524,796,E
HOMBRE,SOLTERO,PROPIA,34,2548673,1238993,0,116,58000000,767,E
HOMBRE,UNION LIBRE ,PROPIA,35,1983572,927395,0,60,16562000,461,E
MUJER,SOLTERO,FAMILIAR,27,1892502,1142752,0,140,40300000,36,A
HOMBRE,SOLTERO,FAMILIAR,31,2056972,886442,0,120,59000000,158,D
HOMBRE,CASADO,FAMILIAR,33,2105562,1104304,0,140,53300000,280,D
MUJER,SOLTERO,ARRENDADA,28,1893378,596674,0,120,20300000,189,D
HOMBRE,CASADO,PROPIA,56,2386500,408906,0,72,27500000,5,A
HOMBRE,CASADO,ARRENDADA,62,1087789,606694,0,140,29000000,5,A
HOMBRE,SOLTERO,FAMILIAR,32,2357235,1602390,0,96,10668152,702,E
HOMBRE,UNION LIBRE ,FAMILIAR,40,4603264,100000,0,60,59989574,154,D
HOMBRE,CASADO,FAMILIAR,38,1890000,151200,0,60,30000000,794,E
HOMBRE,SOLTERO,PROPIA,39,2232453,1090098,0,140,93000000,5,A
HOMBRE,CASADO,FAMILIAR,33,1742412,781589,0,84,38000000,494,E
MUJER,SOLTERO,FAMILIAR,29,2778584,1282598,0,140,109500000,433,E
HOMBRE,UNION LIBRE ,FAMILIAR,41,2297910,626790,0,120,49000000,494,E
HOMBRE,UNION LIBRE ,FAMILIAR,40,2315784,1226224,0,140,82400000,524,E
HOMBRE,SOLTERO,PROPIA,42,3426212,1382463,0,140,71200000,218,E
HOMBRE,VIUDO,FAMILIAR,80,1205897,592981,0,36,11000000,5,A
HOMBRE,SOLTERO,FAMILIAR,36,1977665,1238790,0,140,55500000,341,E
HOMBRE,SOLTERO,FAMILIAR,29,1977665,1105882,0,140,64000000,583,E
MUJER,CASADO,PROPIA,42,5549286,1090286,0,72,44030000,397,D
MUJER,SOLTERO,FAMILIAR,46,1770555,824976,0,108,42000000,5,A
HOMBRE,SEPARADO,FAMILIAR,33,2056972,1067082,0,140,50000000,463,E
HOMBRE,UNION LIBRE ,PROPIA,44,2265181,448897,0,60,16500000,5,A
HOMBRE,SOLTERO,FAMILIAR,34,1545594,770350,0,120,42800000,767,E
MUJER,CASADO,FAMILIAR,44,6800000,700000,0,74,34454702,544,E
HOMBRE,SOLTERO,FAMILIAR,43,1033000,132640,0,75,6170619,909,EE
HOMBRE,SOLTERO,FAMILIAR,33,2124025,1133095,0,140,53700000,310,D
HOMBRE,CASADO,FAMILIAR,40,2200730,1181954,0,140,70500000,310,E
HOMBRE,UNION LIBRE ,FAMILIAR,36,2427156,981026,0,140,74200000,675,E
HOMBRE,CASADO,PROPIA,41,2184740,1303939,0,140,85600000,736,E
HOMBRE,SOLTERO,FAMILIAR,37,2076567,1318950,0,140,82000000,583,E
MUJER,CASADO,PROPIA,34,6500000,3095177,0,76,70502000,45,B
MUJER,SOLTERO,PROPIA,58,1754691,999001,0,140,80000000,5,A
HOMBRE,SOLTERO,FAMILIAR,44,2595685,1329134,0,120,68600000,5,A
MUJER,CASADO,FAMILIAR,37,2346951,912059,0,72,44000000,5,A
MUJER,SOLTERO,ARRENDADA,30,1200000,360153,0,60,32000000,5,A
HOMBRE,CASADO,FAMILIAR,40,4206392,2092416,0,221,167000000,36,A
HOMBRE,SOLTERO,FAMILIAR,31,1977665,1072649,0,140,59000000,402,E
HOMBRE,UNION LIBRE ,FAMILIAR,36,2013929,1211842,0,140,59300000,218,E
HOMBRE,UNION LIBRE ,FAMILIAR,35,1322550,656478,0,96,41000000,583,E
HOMBRE,SOLTERO,FAMILIAR,41,2250326,1255047,0,139,84000000,310,E
HOMBRE,SOLTERO,FAMILIAR,31,2122430,1029095,0,120,55000000,402,E
HOMBRE,CASADO,PROPIA,42,2105961,1208017,0,140,72000000,36,A
HOMBRE,SOLTERO,FAMILIAR,34,2056971,598635,0,120,33800000,36,A
HOMBRE,UNION LIBRE ,PROPIA,60,3641927,1970605,0,140,87000000,189,E
MUJER,CASADO,PROPIA,79,2335958,1307845,0,157,67256123,67,C
HOMBRE,CASADO,FAMILIAR,58,4000145,2056285,0,158,106276579,402,E
MUJER,UNION LIBRE ,FAMILIAR,52,1,1,0,57,13211106,80,D
HOMBRE,SOLTERO,PROPIA,59,0,25606583,0,110,92025249,111,E
HOMBRE,SOLTERO,FAMILIAR,45,3400000,900000,0,72,45850000,262,D
MUJER,UNION LIBRE ,FAMILIAR,50,123000,4,0,35,11041206,47,B
HOMBRE,SOLTERO,PROPIA,62,4148793,1995582,0,140,157000000,5,A
HOMBRE,SOLTERO,ARRENDADA,40,1800000,207040,1,72,27000000,341,E
HOMBRE,CASADO,PROPIA,57,6250000,0,0,72,64000000,261,D
MUJER,UNION LIBRE ,PROPIA,39,900000,300000,1,77,18375278,16,A
MUJER,CASADO,FAMILIAR,59,237982281,3000000,0,72,90324691,321,E
HOMBRE,CASADO,PROPIA,62,0,21020533,0,60,50000000,2,A
